Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,58.485714,58.92856999999999,58.42856999999999,58.74714300000001,52.852215,75555200
2012-01-04,58.57143000000001,59.240002000000004,58.468571,59.062858999999996,53.136253,65005500
2012-01-05,59.278572,59.792857999999995,58.952858,59.718571,53.726177,67817400
2012-01-06,59.967144,60.39285699999999,59.888573,60.342856999999995,54.28781899999999,79573200
2012-01-09,60.785713,61.10714300000001,60.192856000000006,60.24714300000001,54.20170600000001,98506100
2012-01-10,60.844283999999995,60.85714300000001,60.214287,60.462856,54.395779000000005,64549100
2012-01-11,60.382858,60.407143000000005,59.901428,60.364284999999995,54.307095,53771200
2012-01-12,60.325714000000005,60.414288,59.82143000000001,60.19857,54.158012,53146800
2012-01-13,59.957142000000005,60.064285,59.80857099999999,59.972857999999995,53.954944999999995,56505400
2012-01-17,60.599998,60.855713,60.422855000000006,60.671429,54.583416,60724300
2012-01-18,60.994285999999995,61.352856,60.900002,61.30143,55.150204,69197800
2012-01-19,61.450001,61.624287,60.93,61.10714300000001,54.975407,65434600
2012-01-20,61.07,61.07143000000001,59.964287,60.042857999999995,54.017918,103493600
2012-01-23,60.381428,61.207142000000005,60.328571,61.05857099999999,54.931702,76515600
2012-01-24,60.728573,60.728573,59.935715,60.05857099999999,54.032063,136909500
2012-01-25,64.91999799999999,64.921425,63.389998999999996,63.80857099999999,57.40576899999999,239578500
2012-01-26,64.05143000000001,64.112854,63.305714,63.51857,57.144859,80996300
2012-01-27,63.47714200000001,64.068573,63.395714,63.897144,57.485451,74927300
2012-01-30,63.672855000000006,64.842857,63.627143999999994,64.715714,58.221874,94835300
2012-01-31,65.084282,65.46285999999999,64.724289,65.211426,58.66785,97920900
2012-02-01,65.487144,65.57,65.078575,65.16999799999999,58.63058100000001,67511500
2012-02-02,65.128571,65.309998,64.854286,65.017143,58.493065,46699100
2012-02-03,65.328575,65.714287,65.08000200000001,65.668571,59.079131999999994,71649900
2012-02-06,65.482857,66.425713,65.457146,66.281425,59.630486,62353200
2012-02-07,66.464287,67.10714,66.36856800000001,66.975716,60.255104,79055900
2012-02-08,67.214287,68.112854,67.099998,68.097145,61.264008,101972500
2012-02-09,68.68,70.964287,68.65142800000001,70.45285799999999,63.383334999999995,221053700
2012-02-10,70.137146,71.08856999999999,69.792854,70.488571,63.41546999999999,157825500
2012-02-13,71.361427,71.975716,71.012856,71.800003,64.595322,129304000
2012-02-14,72.094284,72.794289,71.714287,72.779999,65.476974,115099600
2012-02-15,73.465714,75.184288,70.98428299999999,71.095711,63.961693000000004,376530000
2012-02-16,70.214287,72.127144,69.51857,71.744286,64.54518900000001,236138000
2012-02-17,71.872856,72.538574,71.471428,71.73143,64.5336,133951300
2012-02-21,72.41143000000001,73.550003,72.017143,73.550003,66.16969300000001,151398800
